Stock P/E,ROE,Debt to Equity,Market Cap,Current Price,Volatility,Return 3M,Dividend Yield,EVEBITDA,Symbol,Industry,ROCE,Cluster,Label,Good_Pick
74.2,27.6,0.6,34205.0,870.0,0.4288507954521836,-21.0,1.9,46.7,360ONE,Financial Services,23.3,2,Short,True
20.4,13.0,7.43,41478.0,557.0,0.3173164015972566,-0.57,0.18,16.0,AUBANK,Financial Services,7.71,1,Neutral,
23.0,18.4,2.55,19990.0,463.0,0.4142219255470586,14.2,0.0,14.6,AADHARHFC,Financial Services,11.4,0,Neutral,
37.3,8.24,0.71,13883.0,383.0,0.3841655251626759,-6.47,0.26,16.8,AARTIIND,Chemicals,7.47,5,Neutral,
205.0,5.6,0.32,101484.0,845.0,0.5723047030404909,22.7,0.0,105.0,ADANIENSOL,Power,6.94,4,Neutral,
310.0,-6.95,2.73,141557.0,894.0,0.5681983388868407,0.44,0.0,67.0,ADANIGREEN,Power,4.55,4,Neutral,
21.6,55.5,0.59,199886.0,518.0,0.5049670066962352,15.2,0.0,12.7,ADANIPOWER,Power,33.0,0,Neutral,
98.1,20.1,0.37,65114.0,592.0,0.4763029155466604,-5.75,0.04,55.4,ATGL,Oil Gas & Consumable Fuels,21.0,2,Neutral,
29.2,3.65,0.22,35423.0,273.0,0.4245756712897614,4.03,0.0,13.2,AWL,Fast Moving Consumer Goods,10.4,5,Neutral,
46.0,5.94,0.0,48316.0,185.0,0.3441812480273392,9.12,0.0,40.0,ABCAPITAL,Financial Services,6.61,0,Neutral,
20.0,27.3,0.02,18032.0,625.0,0.40497305658235,-13.7,2.16,14.5,ABSLAMC,Financial Services,34.8,2,Neutral,
61.8,17.8,0.1,26527.0,756.0,0.5845233171071806,-7.23,0.86,42.2,AEGISLOG,Oil Gas & Consumable Fuels,21.6,2,Neutral,
35.2,16.9,1.07,15749.0,428.0,0.4639104492833666,-10.8,0.0,10.7,AFCONS,Construction,25.2,5,Short,True
89.1,-69.3,0.06,6828.0,434.0,0.5215026691932203,-28.8,0.0,35.9,AKUMS,Healthcare,-15.8,5,Short,True
26.9,14.3,0.21,16637.0,846.0,0.4030841722159661,-15.6,1.3,16.6,APLLTD,Healthcare,14.4,2,Short,True
26.8,21.1,0.01,11828.0,965.0,0.5734624503976289,-2.38,2.33,17.4,ALIVUS,Healthcare,28.1,2,Defensive Long,False
18.8,14.0,0.05,17855.0,976.0,0.4740675850724185,-5.86,1.01,10.1,ARE&M,Automobile and Auto Components,18.7,2,Neutral,
40.0,6.91,0.01,135139.0,549.0,0.347757677099598,11.2,0.36,30.0,AMBUJACEM,Construction Materials,9.46,0,Neutral,
77.4,4.22,0.1,15076.0,439.0,0.606757444100701,-46.8,0.17,59.0,ANANTRAJ,Realty,4.75,2,Short,True
36.2,11.8,0.35,27166.0,428.0,0.2912121370579956,-3.48,1.4,12.2,APOLLOTYRE,Automobile and Auto Components,16.2,0,Neutral,
28.6,14.8,1.34,15117.0,302.0,0.3128034465117514,11.6,1.49,18.1,APTUS,Financial Services,13.4,0,Defensive Long,True
48.9,14.8,0.9,16111.0,663.0,0.3717255155713534,2.48,0.3,24.5,ASAHIINDIA,Automobile and Auto Components,15.0,0,Neutral,
21.0,30.5,0.17,61227.0,208.0,0.3510889550880509,2.99,2.37,12.5,ASHOKLEY,Capital Goods,35.7,0,Defensive Long,True
4.32,5.55,0.33,24991.0,500.0,0.3260834690221516,1.88,0.8,4.01,ASTERDM,Healthcare,7.37,0,Neutral,
418.0,44.1,0.04,14786.0,359.0,0.4659873087068154,-16.5,0.28,286.0,BLS,Consumer Services,44.9,4,Short,True
50.8,15.2,3.96,99421.0,119.0,0.4263703190146158,6.48,0.0,20.8,BAJAJHFL,Financial Services,9.42,5,Neutral,
33.3,13.3,0.18,10699.0,530.0,0.4033171784739961,14.1,0.57,15.8,BALRAMCHIN,Fast Moving Consumer Goods,13.1,0,Neutral,
9.72,10.8,6.38,24113.0,150.0,0.4151243401494848,8.72,1.0,13.0,BANDHANBNK,Financial Services,7.06,1,Neutral,
6.19,16.9,11.6,120234.0,232.0,0.354001112583385,6.8,3.27,16.3,BANKBARODA,Financial Services,6.32,1,Neutral,
6.13,9.86,12.6,49242.0,108.0,0.3693970948378061,19.7,2.59,17.8,BANKINDIA,Financial Services,5.68,1,Neutral,
6.7,23.0,10.7,35120.0,45.7,0.3909693984191405,-2.0,3.07,18.3,MAHABANK,Financial Services,5.38,1,Neutral,
60.5,21.7,0.11,61851.0,530.0,0.248040136729373,17.5,0.66,36.0,BERGEPAINT,Consumer Durables,26.1,0,Neutral,
41.9,27.0,0.0,208329.0,285.0,0.405702787756059,9.78,0.77,28.4,BEL,Capital Goods,35.7,0,Neutral,
150.0,1.03,0.37,74158.0,213.0,0.4591285702944493,10.6,0.12,47.5,BHEL,Capital Goods,3.25,5,Neutral,
8.23,44.2,0.41,127205.0,293.0,0.3259019725024257,10.5,7.16,5.03,BPCL,Oil Gas & Consumable Fuels,40.0,3,Defensive Long,True
63.6,24.7,0.13,17778.0,709.0,0.4185025039434668,3.61,0.14,39.6,BIKAJI,Fast Moving Consumer Goods,29.6,0,Neutral,
34.8,21.7,0.07,9997.0,360.0,0.3448778131653252,-31.6,1.81,21.6,BSOFT,Information Technology,27.9,2,Short,True
628.0,-1.57,0.08,17038.0,327.0,0.5578404334598882,-34.9,0.0,71.4,FIRSTCRY,Consumer Services,-0.79,4,Short,True
56.0,7.86,0.3,22839.0,935.0,0.4288597549367759,-12.1,0.21,29.2,BRIGADE,Realty,10.2,2,Short,True
97.3,8.69,0.79,8000.0,599.0,0.3424892999724434,-8.18,0.75,36.2,CCL,Fast Moving Consumer Goods,9.31,0,Neutral,
25.9,7.63,1.07,20374.0,154.0,0.4133592065554448,1.11,2.93,11.8,CESC,Power,9.27,5,Neutral,
93.1,30.8,0.0,87512.0,572.0,0.4169217418505442,-6.94,0.23,63.6,CGPOWER,Capital Goods,39.4,0,Neutral,
61.2,14.9,0.32,7278.0,238.0,0.413832007867605,-12.2,0.29,30.2,CAMPUS,Consumer Durables,16.7,5,Short,True
10.4,18.8,7.19,8682.0,652.0,0.3162261531260798,0.04,0.92,11.9,CANFINHOME,Financial Services,9.26,1,Neutral,
5.2,18.1,14.9,82126.0,90.5,0.3641325844867543,2.28,3.56,15.2,CANBK,Financial Services,6.63,1,Neutral,
41.1,5.71,2.49,12859.0,156.0,0.4830527926501567,-10.9,0.1,15.8,CGCL,Financial Services,9.07,5,Short,True
51.3,16.3,0.0,18192.0,955.0,0.3462198356294367,-22.0,0.42,33.0,CARBORUNIV,Capital Goods,21.2,2,Short,True
21.4,41.8,0.04,19716.0,199.0,0.4487177079299616,10.9,4.26,13.6,CASTROLIND,Oil Gas & Consumable Fuels,55.2,5,Defensive Long,True
8.76,8.37,12.5,31164.0,34.4,0.4670303448914336,-26.5,0.0,18.6,CENTRALBK,Financial Services,5.25,1,Short,True
53.3,15.4,0.31,15483.0,697.0,0.3482573086204861,-7.42,0.14,31.2,CENTURYPLY,Consumer Durables,19.1,0,Neutral,
149.0,16.3,0.66,17909.0,820.0,0.3592885255571982,-4.9,0.0,28.4,CHALET,Consumer Services,10.2,0,Neutral,
15.7,18.2,0.0,25852.0,645.0,0.4772240958475028,42.0,1.16,9.06,CHAMBLFERT,Chemicals,21.3,0,Defensive Long,True
27.3,36.5,0.82,9176.0,616.0,0.4990524047861664,7.21,8.93,11.6,CHENNPETRO,Oil Gas & Consumable Fuels,35.4,3,Defensive Long,True
11.4,12.8,6.75,12372.0,167.0,0.3110077131180087,3.02,0.9,15.1,CUB,Financial Services,6.57,1,Neutral,
14.0,92.6,0.0,241641.0,392.0,0.30782487235136,8.05,6.5,13.8,COALINDIA,Oil Gas & Consumable Fuels,94.3,3,Defensive Long,True
32.2,10.7,0.07,41724.0,685.0,0.3838250365523551,-5.99,1.68,16.4,CONCOR,Services,13.8,0,Neutral,
38.8,15.4,0.14,21510.0,334.0,0.3322109010813753,-5.49,0.9,25.5,CROMPTON,Consumer Durables,17.7,0,Neutral,
322.0,4.16,0.12,154360.0,624.0,0.3499521370557245,-12.3,0.8,98.8,DLF,Realty,5.46,4,Short,True
56.9,22.9,0.17,81757.0,461.0,0.2318310752841206,-9.68,1.19,37.6,DABUR,Fast Moving Consumer Goods,28.1,0,Neutral,
185.0,-1.42,0.14,18412.0,247.0,0.3529959795192134,-23.1,0.0,25.0,DELHIVERY,Services,-0.46,5,Short,True
561.0,-48.7,2.04,18808.0,156.0,0.3685717859471758,-12.2,0.0,31.6,DEVYANI,Consumer Services,10.4,4,Short,True
36.4,17.4,0.04,22598.0,361.0,0.3577144009630356,-9.58,0.33,22.9,EIHOTEL,Consumer Services,22.4,0,Neutral,
32.5,24.8,0.06,9785.0,436.0,0.5313192003324995,-20.8,0.34,21.6,ELECON,Capital Goods,32.9,2,Short,True
39.0,23.7,0.01,13378.0,422.0,0.4395846840676958,-20.2,0.47,25.9,ELGIEQUIP,Capital Goods,29.7,2,Short,True
32.3,29.3,0.01,26561.0,608.0,0.410439167598369,7.66,1.31,25.1,EMAMILTD,Fast Moving Consumer Goods,31.3,0,Defensive Long,True
81.4,8.6,0.29,17422.0,919.0,0.3729322855066218,-30.2,0.0,28.5,EMCURE,Healthcare,10.3,2,Short,True
28.7,15.9,0.01,8989.0,160.0,0.5038317595471232,-1.39,1.88,17.7,ENGINERSIN,Construction,20.9,5,Defensive Long,False
28.4,8.39,0.03,31390.0,369.0,0.3677587378434696,-0.89,0.54,15.6,EXIDEIND,Automobile and Auto Components,11.3,0,Neutral,
